Country,Sentence,SourceFile,Sentiment,Sentiment_Label,Actor
Azerbaijan,"EVALUATION REPORT 
UNSDCF EVALUATION 
Azerbaijan 2021 – 2025
Draft 
2 October 2024
Authors:
Sabina Ymeri, International Consultant/Team Leader
Dr. Anar Valiyev, National Consultant
Commissioned by: 
United Nations Resident Coordinator Office and United Nations Country Team, Azerbaijan
Disclaimer
This evaluation report was prepared by a team of independent consultants. The content, analysis and recommendations of this report do not reflect the views of the United Nations Resident Coordinator’s Office and UNCT in Azerbaijan. Table of contents
Executive Summary	7
1	Introduction	13
1.1	Evaluation purpose and objectives	14
1.2	Scope and key users of the evaluation	14
1.3	Evaluation Criteria and Questions	15
1.4	Country Context	16
1.4.1	Political context	17
1.4.2	Key socio-economic challenges	18
1.4.3	Sustainable Development Goals	19
1.4.4	The Azerbaijan UN Sustainable Development Cooperation Framework	19
2	Methodology	22
2.1	Approach for the evaluation	22
2.2	Evaluation guidance and ethical considerations	23
2.3	Methodology for the evaluation	23
2.4	Sampling approach	24
2.5	Data Analysis and Quality Assurance	25
3	Findings	27
3.1	Relevance and adaptability: Is the CF doing the right things?",Azerbaijan.docx,0.936,Positive,UNCT
Azerbaijan,"Annex 2 Evaluation Design Matrix	76
3. Annex 3 Data collection instruments	88
Annex 3.1 Self-Assessment Questionnaire for Result Groups – UN members	88
Annex 3.2: Self-Assessment Questionnaire for Thematic Working Groups	90
Annex 3.3 Interview Guide for Government Stakeholders	92
Annex 3.4 Interview Guide for Development Partners	94
Annex 3.5 Interview Guide for national non-government stakeholders	95
Annex 3.6 Interview Guide for Resident Coordinator and Heads of UN Agencies	97
Annex 4: Stakeholder analysis matrix	98
Annex 5: Stakeholder matrix – purposive sampling	101
Annex 6: Theory of Change, UNSDCF 2021-2025 – Graphic representation by Outcomes	102
Annex 7: Analysis of the Theory of Change	103
Annex 8: List of Documents Consulted	112
Annex 9: List of People Met	114
Abbreviations
Executive Summary
Introduction: This report presents findings, conclusions and recommendations of the independent final evaluation of the United Nations Sustainable Development Cooperation Framework (UNSDCF) for Azerbaijan (2021-2025), commissioned by the United Nations Country Team and United Nations Resident Coordinator’s Office (UNRCO) in the country. The document was signed between United Nations (UN) Country Team and the Government of Azerbaijan on 1 March 2021.",Azerbaijan.docx,0.8807,Positive,Unspecified
Azerbaijan,"The document was signed between United Nations (UN) Country Team and the Government of Azerbaijan on 1 March 2021. The UNSDCF sets the strategic vision and direction for cooperation between the Republic of Azerbaijan and the United Nations Country Team (UNCT) for the period of 2021-2025. The UNSDCF 2021 – 2025 builds around the following four priorities, with a focus on contributing to SDG targets to meet four strategic priority areas, as follows: 
1: Inclusive growth that reduces vulnerability and builds resilience
2: Stronger institutions for better public and social services delivery
3: Protecting the environment and addressing climate change
4: A gender-equitable society that empowers women and girls
Purpose and Objectives of the Evaluation: The evaluation aims to ensure accountability, support learning, and inform the design of the next CF cycle.",Azerbaijan.docx,0.9524,Positive,UNCT
Azerbaijan,"Scope and key users: The evaluation covered the three years of CF implementation between March 2021 - June 2024. The evaluation looks at the UNSDCF 2021-2025 as a whole and covers contributions of all sub-outputs by both resident and non-resident agencies of the UNCT, also examining the cross-cutting issues and the global UN programming principles (e.g. leaving no one behind LNOB, human rights, gender equality and women's empowerment, disability inclusion, and environmental sustainability and resilience, and accountability) and  the scope of coverage of CF implementation across the country (desk review) assessing the geographical reach achieved by CF intervention.",Azerbaijan.docx,-0.2732,Negative,UNCT
Azerbaijan,"The evaluation findings will be utilized to inform strategic planning, and future programming. Primary users of the evaluation include stakeholders involved in the implementation of the CF, including UNCT, governmental bodies, civil society organizations, contributing partners, and other relevant stakeholders while secondary users encompass a broader audience, academic and research community, media and the general public. Methodology for the evaluation: The evaluation followed the and principles, employing a non-experimental, mixed-methods approach that combined desk reviews and analysis of available quantitative secondary data; primary qualitative data collection, along with data triangulation, to ensure a strong and credible evidence base.",Azerbaijan.docx,0.7096,Positive,UNCT
Azerbaijan,"A contribution analysis was conducted to identify factors that influenced progress. Interviews and group discussions were held with various stakeholders, including representatives from the UNRCO, UN agencies, government institutions, civil society, the private sector, and international partners. The evaluation included key informant interviews and group meetings with more than 135 stakeholders from the resident and non-resident UN agencies (53), national stakeholders from government institutions (53), interviews with NGOs, universities, and private sector (23) as well as international development partners (6).",Azerbaijan.docx,0.5994,Positive,Unspecified
Azerbaijan,"While the CF did not fully repurpose itself to support this initiative, it provided targeted assistance through project-level interventions and capacity-building efforts, such as support for demining operations and the Joint Recovery Needs Assessment conducted with the government, EU and WB. In response to other shocks, such as the prolonged impacts of the COVID-19 pandemic and declining global energy demand, the UNCT acted swiftly, continuing pandemic-related efforts from the previous cooperation cycle and working effectively with government and non-government partners to support the most vulnerable. However, the CF could strengthen its responsiveness by adopting more robust resilience-building and shock-responsive social protection measures to better address future challenges.",Azerbaijan.docx,0.9451,Positive,UNCT
Azerbaijan,"For Outcome 1.1, which focuses on integrating disadvantaged groups into the economy, targets have not been fully met due to structural economic issues and limited job opportunities. However, progress is evident in expanding Women Resource Centers (WRCs) and employment opportunities for women, farmers, and vulnerable groups, particularly in labor legislation affecting women. Outcome 2.1 has shown improvements in social protection, education, primary healthcare, and governance, although some policy changes are still pending.",Azerbaijan.docx,0.5859,Positive,Unspecified
Azerbaijan,"The reliance on earmarked funding and the need for immediate results can lead to an opportunistic approach, undermining long-term development goals and creating silos among agencies. Despite these challenges, the UNCT has successfully mobilized funds for some joint programmes, such as the Integrated National Financial Framework and a regional EU-funded programme. The establishment of an integrated financing framework or SDG Accelerator Fund has not yet occurred, with mixed opinions on its feasibility due to Azerbaijan’s upper-middle-income status and the existing donor landscape.",Azerbaijan.docx,0.3773,Positive,UNCT
Azerbaijan,"Administrative coordination, while creating additional costs for agency staff, has facilitated program delivery. Coordination: The Resident Coordinator’s Office (RCO) has been pivotal in ensuring the effective planning and coordination of the Cooperation Framework (CF), facilitating Results Groups and thematic groups to align UN agency efforts and achieve output and outcome indicators. The RCO’s technical support, expertise and networks are instrumental, especially for smaller agencies.",Azerbaijan.docx,0.8442,Positive,Unspecified
